Data;Último;Abertura;Máxima;Mínima;Var%
jul/08;1,567;1,6039;1,6211;1,5604;-2,31%
jun/08;1,6041;1,626;1,6522;1,588;-1,38%
mai/08;1,6265;1,6617;1,7055;1,6241;-2,15%
abr/08;1,6622;1,7559;1,7605;1,6471;-5,36%
mar/08;1,7564;1,691;1,7651;1,659;3,84%
fev/08;1,6914;1,759;1,782;1,6612;-3,83%
jan/08;1,7588;1,7795;1,8407;1,7285;-1,19%
dez/07;1,78;1,7901;1,832;1,75;-1,01%
nov/07;1,7982;1,7368;1,8723;1,7247;3,54%
out/07;1,7368;1,8325;1,848;1,7292;-5,25%
set/07;1,833;1,961;1,9765;1,83;-6,86%
ago/07;1,9681;1,8823;2,1396;1,8655;4,57%
jul/07;1,882;1,926;1,944;1,8365;-2,44%
jun/07;1,929;1,9287;1,991;1,8945;0,44%
mai/07;1,9205;2,035;2,0365;1,9165;-5,62%
abr/07;2,0348;2,06;2,06;2,013;-1,18%
mar/07;2,059;2,1175;2,152;2,0247;-2,90%
fev/07;2,1204;2,1238;2,15;2,0638;-0,17%
jan/07;2,124;2,1367;2,1627;2,1212;-0,59%
dez/06;2,1365;2,1645;2,1745;2,1302;-1,32%
nov/06;2,165;2,143;2,204;2,1307;1,04%
out/06;2,1428;2,168;2,18;2,122;-1,45%
set/06;2,1743;2,152;2,237;2,1217;1,44%
ago/06;2,1434;2,1756;2,1985;2,1215;-1,57%
jul/06;2,1775;2,1605;2,2256;2,1545;0,54%
jun/06;2,1659;2,3215;2,3355;2,1535;-6,04%
mai/06;2,3051;2,087;2,4045;2,05;10,45%
abr/06;2,087;2,1658;2,1765;2,083;-3,56%
mar/06;2,164;2,1315;2,2458;2,0965;1,91%
fev/06;2,1235;2,212;2,2405;2,1015;-4,00%
jan/06;2,212;2,3335;2,354;2,196;-5,40%
dez/05;2,3383;2,2039;2,4005;2,1585;6,12%
nov/05;2,2035;2,2505;2,2685;2,1525;-2,14%
out/05;2,2518;2,2355;2,3045;2,2215;1,09%
set/05;2,2275;2,355;2,3735;2,206;-5,43%
ago/05;2,3555;2,385;2,459;2,2629;-1,03%
jul/05;2,38;2,3364;2,5127;2,321;1,87%
jun/05;2,3364;2,3992;2,506;2,331;-3,03%
mai/05;2,4095;2,5282;2,53;2,363;-4,70%
abr/05;2,5282;2,666;2,6775;2,506;-5,66%
mar/05;2,68;2,598;2,7858;2,587;3,49%
fev/05;2,5895;2,6085;2,6525;2,549;-0,74%
jan/05;2,6088;2,661;2,734;2,6055;-1,78%
dez/04;2,656;2,717;2,805;2,646;-2,35%
nov/04;2,72;2,858;2,873;2,714;-4,87%
out/04;2,8592;2,86;2,895;2,805;-0,01%
set/04;2,8595;2,9295;2,9435;2,8465;-2,31%
ago/04;2,927;3,036;3,078;2,922;-3,64%
jul/04;3,0375;3,0865;3,0875;2,9885;-1,57%
jun/04;3,086;3,185;3,171;3,086;-3,23%
mai/04;3,189;2,933;3,234;2,942;8,80%
abr/04;2,931;2,892;2,969;2,867;1,21%
mar/04;2,896;2,902;2,947;2,858;-0,34%
fev/04;2,906;2,927;3,011;2,895;-0,97%
jan/04;2,9345;2,8975;2,973;2,7665;1,49%
dez/03;2,8915;2,9425;2,9525;2,8525;-1,87%
nov/03;2,9465;2,8675;2,9725;2,8445;2,79%
out/03;2,8665;2,8915;2,9195;2,8155;-0,90%
